event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-50001,9318,April 20 2024,Engineering,28.6,125,completed
EVT-39831,5377,September 19 2024,Security,86.9,285,completed
EVT-39219,1042,2024-02-28,Data,22.4,157,in_progress
EVT-13101,5634,June 25 2024,Security,96.3,96,completed
EVT-96511,5891,August 08 2024,Business,1.2,409,completed
EVT-35313,9022,February 26 2024,Data,97.0,244,in_progress
EVT-62227,3434,May 25 2024,Design,4.3,299,in_progress
EVT-44741,8316,12/13/2024,Engineering,89.1,390,completed
EVT-46517,9824,2024-12-13,Design,52.8,405,completed
EVT-19099,8935,2024-10-30,Business,,402,in_progress
EVT-46585,6654,September 06 2024,Business,7.4,263,completed
EVT-56025,6446,2024-09-26,Data,55.4,291,completed
EVT-94080,9903,December 07 2024,Security,96.9,271,completed
EVT-76768,7180,2024-06-06,Business,52.3,67,completed
EVT-62386,8460,2024-01-24,Engineering,62.9,303,completed
EVT-36062,6272,2024-04-22,Security,69.6,68,in_progress
EVT-80282,4090,2024-07-21,Security,45.5,147,completed
EVT-53404,4912,2024-11-02,Security,62.8,406,completed
EVT-13617,7274,01/29/2024,Security,58.4,288,completed
EVT-25118,4826,2024-01-04,Engineering,90.1,431,completed
EVT-44237,7730,2024-04-14,Security,4.5,197,dropped
EVT-33405,1715,06/03/2024,Business,28.1,287,in_progress
EVT-86099,6213,April 18 2024,Design,95.0,431,completed
EVT-44795,8749,03/11/2024,Engineering,89.0,397,completed
EVT-15014,7246,2024-05-10,Security,45.6,31,completed
EVT-24208,7325,2024-05-28,Business,62.0,399,completed
EVT-88193,3492,2024-06-16,Engineering,27.7,378,in_progress
EVT-66959,9115,2024-03-02,Design,18.8,235,completed
EVT-55309,1606,2024-01-04,Business,46.4,289,in_progress
EVT-51114,3068,2024-09-11,Data,35.3,121,completed
EVT-67199,9229,2024-08-08,Security,58.4,227,completed
EVT-89457,6439,2024-03-30,Data,7.8,62,completed
EVT-77033,2644,2024-03-07,Engineering,97.4,386,in_progress
EVT-25157,8213,07/13/2024,Data,98.6,434,completed
